"Sign","Name","Name1","Name2"
"𒪱","|UKKIN~b×(DIN.1(N01))|","|UKKIN~b×(DIN.1(N01))|, |UKKIN~b×(DIN.1(N01))|","|UKKIN×(DIN.1(N01))|"
"𒪴","|UKKIN~b×2(N01)|","|UKKIN~b×2(N01)|, |UKKIN~b×2(N01)|","|UKKIN×2(N01)|"
"𒪵","|UKKIN~b×3(N01)|","|UKKIN~b×3(N01)|, |UKKIN~b×3(N01)|","|UKKIN×3(N01)|"
"𒪶","|UKKIN~b×5(N01)|","|UKKIN~b×5(N01)|, |UKKIN~b×5(N01)|","|UKKIN×5(N01)|"
"𒪰","|UKKIN~b×DIN|","|UKKIN~b×DIN|, |UKKIN~b×DIN|","|UKKIN×DIN|"
"𒪲","|UKKIN~b×HI@g~a|","|UKKIN~b×HI@g~a|, |UKKIN~b×HI@g~a|","|UKKIN×HI|"
"𒪳","|UKKIN~b×NI~a|","|UKKIN~b×NI~a|, |UKKIN~b×NI~a|","|UKKIN×NI|"
"󲒈","|UKKIN~b×X|","|UKKIN~b×X|, |UKKIN~b×X|","|UKKIN×X|"
"𒪾","|UNUG~a×A@t|","|UNUG~a×A@t|, |UNUG~a×A@t|","|UNUG×A|"
"󲒉","|UR~a×KAR₂~b|","|UR~a×KAR2~b|, |UR~a×KAR₂~b|","|UR×KAR₂|"
"𒫈","|UR₂×1(N57)|","|UR2×1(N57)|, |UR₂×1(N57)|","|UR₂×1(N57)|"
"𒫇","|UR₂×TAR~c|","|UR2×TAR~c|, |UR₂×TAR~c|","|UR₂×TAR|"
"󲒊","|UR₃~b1×MAŠ|","|UR3~b1×MAŠ|, |UR₃~b1×MAŠ|","|UR₃×MAŠ|"
"󲊋","|URI₃~a.AB~a|","|URI3~a.AB~a|, |URI₃~a.AB~a|","|URI₃.AB|"
"󲅅","|URI₃~a.NA~a|","|URI3~a.NA~a|, |URI₃~a.NA~a|","|URI₃.NA|"
"𒫜","|URU~a1×3(N57)|","|URU~a1×3(N57)|, |URU~a1×3(N57)|","|URU×3(N57)|"
"𒫗","|URU~a1×AMAR|","|URU~a1×AMAR|, |URU~a1×AMAR|","|URU×AMAR|"
"󲒋","|URU~a1×GU₄|","|URU~a1×GU4|, |URU~a1×GU₄|","|URU×GU₄|"
"𒫘","|URU~a1×HI@g~a|","|URU~a1×HI@g~a|, |URU~a1×HI@g~a|","|URU×HI|"
"𒫙","|URU~a1×KI|","|URU~a1×KI|, |URU~a1×KI|","|URU×KI|"
"𒫚","|URU~a1×NIMGIR|","|URU~a1×NIMGIR|, |URU~a1×NIMGIR|","|URU×NIMGIR|"
"𒫛","|URU~a1×U₄|","|URU~a1×U4|, |URU~a1×U₄|","|URU×U₄|"
"󲒌","|URU~a1×X|","|URU~a1×X|, |URU~a1×X|","|URU×X|"
"𒫞","|URU~a2×1(N58)|","|URU~a2×1(N58)|, |URU~a2×1(N58)|","|URU×1(N58)|"
"𒫟","|URU~a3×KALAM~a|","|URU~a3×KALAM~a|, |URU~a3×KALAM~a|","|URU×KALAM|"
"󲃼","|UŠ~a.KUR~a|","|UŠ~a.KUR~a|, |UŠ~a.KUR~a|","|UŠ.KUR|"
"𒫪","|UŠ~a&UŠ~a|","|UŠ~a&UŠ~a|, |UŠ~a&UŠ~a|","|UŠ&UŠ|"
"𒫭","|UŠ~b&UŠ~b|","|UŠ~b&UŠ~b|, |UŠ~b&UŠ~b|","|UŠ&UŠ|"
"𒫬","|UŠ~b×TAR~c|","|UŠ~b×TAR~c|, |UŠ~b×TAR~c|","|UŠ×TAR|"
"󲓋","|X(N57).GAR|","|X(N57).GAR|, |X(N57).GAR|","|X(N57).GAR|"
"󲒔","|ZATU644~a×1(N14)|","|ZATU644~a×1(N14)|, |ZATU644~a×1(N14)|","|ZATU644×1(N14)|"
"𒬨","|ZATU651×AN|","|ZATU651×AN|, |ZATU651×AN|","|ZATU651×AN|"
"𒬩","|ZATU651×EN~a|","|ZATU651×EN~a|, |ZATU651×EN~a|","|ZATU651×EN|"
"𒬪","|ZATU651×GAR|","|ZATU651×GAR|, |ZATU651×GAR|","|ZATU651×GAR|"
"𒬫","|ZATU651×MA|","|ZATU651×MA|, |ZATU651×MA|","|ZATU651×MA|"
"𒬬","|ZATU651×NUN~a|","|ZATU651×NUN~a|, |ZATU651×NUN~a|","|ZATU651×NUN|"
"󲒗","|ZATU651×ŠE~a|","|ZATU651×ŠE~a|, |ZATU651×ŠE~a|","|ZATU651×ŠE|"
"󲒖","|ZATU651×X|","|ZATU651×X|, |ZATU651×X|","|ZATU651×X|"
"𒬭","|ZATU651×ZAR~c|","|ZATU651×ZAR~c|, |ZATU651×ZAR~c|","|ZATU651×ZAR|"
"𒬰","|ZATU659×1(N01)|","|ZATU659×1(N01)|, |ZATU659×1(N01)|","|ZATU659×1(N01)|"
"𒬱","|ZATU659×1(N14)|","|ZATU659×1(N14)|, |ZATU659×1(N14)|","|ZATU659×1(N14)|"
"𒬲","|ZATU659×1(N58@t)|","|ZATU659×1(N58@t)|, |ZATU659×1(N58@t)|","|ZATU659×1(N58)|"
"𒬴","|ZATU662×1(N14)|","|ZATU662×1(N14)|, |ZATU662×1(N14)|","|ZATU662×1(N14)|"
"𒭴","|ZATU711×HI@g~a|","|ZATU711×HI@g~a|, |ZATU711×HI@g~a|","|ZATU711×HI|"
"󲒝","|ZATU711×X|","|ZATU711×X|, |ZATU711×X|","|ZATU711×X|"
"󲊎","|ZATU714.RU|","|ZATU714.RU|, |ZATU714.RU|","|ZATU714.RU|"
"𒭷","|ZATU714×HI@g~a|","|ZATU714×HI@g~a|, |ZATU714×HI@g~a|","|ZATU714×HI|"
"󲒞","|ZATU714×X|","|ZATU714×X|, |ZATU714×X|","|ZATU714×X|"
"󲔚","|ZATU737@t×PAP~a|","|ZATU737@t×PAP~a|, |ZATU737@t×PAP~a|","|ZATU737×PAP|"
"𒮏","|ZATU737×AB~a|","|ZATU737×AB~a|, |ZATU737×AB~a|","|ZATU737×AB|"
"𒮐","|ZATU737×BU~a|","|ZATU737×BU~a|, |ZATU737×BU~a|","|ZATU737×BU|"
"𒮑","|ZATU737×BUR~a|","|ZATU737×BUR~a|, |ZATU737×BUR~a|","|ZATU737×BUR|"
"𒮒","|ZATU737×DI|","|ZATU737×DI|, |ZATU737×DI|","|ZATU737×DI|"
"󲒡","|ZATU737×E~a|","|ZATU737×E~a|, |ZATU737×E~a|","|ZATU737×E|"
"𒮓","|ZATU737×EN~a|","|ZATU737×EN~a|, |ZATU737×EN~a|","|ZATU737×EN|"
"𒮔","|ZATU737×EN~b|","|ZATU737×EN~b|, |ZATU737×EN~b|","|ZATU737×EN|"
"𒮕","|ZATU737×GAR|","|ZATU737×GAR|, |ZATU737×GAR|","|ZATU737×GAR|"
"󲔛","|ZATU737×I|","|ZATU737×I|, |ZATU737×I|","|ZATU737×I|"
"𒮖","|ZATU737×NI~a@g|","|ZATU737×NI~a@g|, |ZATU737×NI~a@g|","|ZATU737×NI|"
"𒮗","|ZATU737×NIMGIR|","|ZATU737×NIMGIR|, |ZATU737×NIMGIR|","|ZATU737×NIMGIR|"
"𒮘","|ZATU737×SAL|","|ZATU737×SAL|, |ZATU737×SAL|","|ZATU737×SAL|"
"𒮙","|ZATU737×SU~a|","|ZATU737×SU~a|, |ZATU737×SU~a|","|ZATU737×SU|"
"𒮚","|ZATU737×ŠE~a|","|ZATU737×ŠE~a|, |ZATU737×ŠE~a|","|ZATU737×ŠE|"
"𒮛","|ZATU737×ŠITA~a1|","|ZATU737×ŠITA~a1|, |ZATU737×ŠITA~a1|","|ZATU737×ŠITA|"
"𒮜","|ZATU737×U₄|","|ZATU737×U4|, |ZATU737×U₄|","|ZATU737×U₄|"
"𒮝","|ZATU737×UNUG~a|","|ZATU737×UNUG~a|, |ZATU737×UNUG~a|","|ZATU737×UNUG|"
"󲒢","|ZATU737×X|","|ZATU737×X|, |ZATU737×X|","|ZATU737×X|"
"󲒥","|ZATU759@t×X|","|ZATU759@t×X|, |ZATU759@t×X|","|ZATU759×X|"
"𒮯","|ZATU759×(KU₆~a+KU₆~a)|","|ZATU759×(KU6~a+KU6~a)|, |ZATU759×(KU₆~a+KU₆~a)|","|ZATU759×(KU₆+KU₆)|"
"𒮮","|ZATU759×KU₆~a|","|ZATU759×KU6~a|, |ZATU759×KU₆~a|","|ZATU759×KU₆|"
"󲒣","|ZATU759×KU₆~d|","|ZATU759×KU6~d|, |ZATU759×KU₆~d|","|ZATU759×KU₆|"
"󲒤","|ZATU759×X|","|ZATU759×X|, |ZATU759×X|","|ZATU759×X|"
"𒮱","|ZATU762~a×NIM~a|","|ZATU762~a×NIM~a|, |ZATU762~a×NIM~a|","|ZATU762×NIM|"
"𒮳","|ZATU762~b×AB~a|","|ZATU762~b×AB~a|, |ZATU762~b×AB~a|","|ZATU762×AB|"
"𒕐","1(N01)","1(N01), 1(N01)","1(N01)"
"𒙌","1(N01@f)","1(N01@f), 1(N01@f)","1(N01)"
"𒖉","1(N01@r)","1(N01@r), 1(N01@r)","1(N01)"
"𒖾","1(N02)","1(N02), 1(N02)","1(N02)"
"𒗯","1(N03)","1(N03), 1(N03)","1(N03)"
"𒘆","1(N04)","1(N04), 1(N04)","1(N04)"
"𒘱","1(N05)","1(N05), 1(N05)","1(N05)"
"𒗑","1(N06)","1(N06), 1(N06)","1(N06)"
"𒙆","1(N07A)","1(N07A), 1(N07A)","1(N07A)"
"𒙉","1(N07B)","1(N07B), 1(N07B)","1(N07B)"
"𒕙","1(N08)","1(N08), 1(N08)","1(N08)"
"󰃵","1(N08~b)","1(N08~b), 1(N08~b)","1(N08)"
"󲔷","1(N08)","1(N08), 1(N08)","1(N08)"
"𒙃","1(N09)","1(N09), 1(N09)","1(N09)"
"𒙄","1(N11)","1(N11), 1(N11)","1(N11)"
"𒙅","1(N12)","1(N12), 1(N12)","1(N12)"
"𒕢","1(N14)","1(N14), 1(N14)","1(N14)"
"𒙖","1(N14@f)","1(N14@f), 1(N14@f)","1(N14)"
"𒗇","1(N15)","1(N15), 1(N15)","1(N15)"
"󰃻","1(N16)","1(N16), 1(N16)","1(N16)"
"󰃼","1(N17)","1(N17), 1(N17)","1(N17)"
"𒗴","1(N18)","1(N18), 1(N18)","1(N18)"
"𒘋","1(N19)","1(N19), 1(N19)","1(N19)"
"𒘶","1(N20)","1(N20), 1(N20)","1(N20)"
"𒖌","1(N22)","1(N22), 1(N22)","1(N22)"
"󰃽","1(N22)","1(N22), 1(N22)","1(N22)"
"󰃾","1(N23)","1(N23), 1(N23)","1(N23)"
"𒖪","1(N24)","1(N24), 1(N24)","1(N24)"
"󰄆","1(N24@f)","1(N24@f), 1(N24@f)","1(N24)"
"𒗪","1(N24A)","1(N24A), 1(N24A)","1(N24A)"
"𒗾","1(N24B)","1(N24B), 1(N24B)","1(N24B)"
"𒘣","1(N25)","1(N25), 1(N25)","1(N25)"
"𒖫","1(N26)","1(N26), 1(N26)","1(N26)"
"𒗿","1(N26B)","1(N26B), 1(N26B)","1(N26B)"
"𒘤","1(N27)","1(N27), 1(N27)","1(N27)"
"𒖬","1(N28)","1(N28), 1(N28)","1(N28)"
"𒘀","1(N28B)","1(N28B), 1(N28B)","1(N28B)"
"𒘥","1(N28C)","1(N28C), 1(N28C)","1(N28C)"
"𒖭","1(N29A)","1(N29A), 1(N29A)","1(N29A)"
"𒘁","1(N29AB)","1(N29AB), 1(N29AB)","1(N29AB)"
"𒘦","1(N29AC)","1(N29AC), 1(N29AC)","1(N29AC)"
"𒖮","1(N29B)","1(N29B), 1(N29B)","1(N29B)"
"𒖯","1(N30A)","1(N30A), 1(N30A)","1(N30A)"
"𒘧","1(N30AC)","1(N30AC), 1(N30AC)","1(N30AC)"
"󰄋","1(N30B)","1(N30B), 1(N30B)","1(N30B)"
"𒖰","1(N30C)","1(N30C), 1(N30C)","1(N30C)"
"󲔸","1(N30CA)","1(N30CA), 1(N30CA)","1(N30CA)"
"𒘨","1(N30CC)","1(N30CC), 1(N30CC)","1(N30CC)"
"𒖱","1(N30D)","1(N30D), 1(N30D)","1(N30D)"
"𒖲","1(N30E)","1(N30E), 1(N30E)","1(N30E)"
"𒖳","1(N31)","1(N31), 1(N31)","1(N31)"
"𒖴","1(N32)","1(N32), 1(N32)","1(N32)"
"𒖵","1(N33)","1(N33), 1(N33)","1(N33)"
"𒕫","1(N34)","1(N34), 1(N34)","1(N34)"
"𒙟","1(N34@f)","1(N34@f), 1(N34@f)","1(N34)"
"𒗌","1(N35)","1(N35), 1(N35)","1(N35)"
"𒘖","1(N36)","1(N36), 1(N36)","1(N36)"
"𒙁","1(N37)","1(N37), 1(N37)","1(N37)"
"𒗟","1(N38)","1(N38), 1(N38)","1(N38)"
"𒖶","1(N39A)","1(N39A), 1(N39A)","1(N39A)"
"𒖺","1(N39B)","1(N39B), 1(N39B)","1(N39B)"
"𒗫","1(N40)","1(N40), 1(N40)","1(N40)"
"𒘂","1(N41)","1(N41), 1(N41)","1(N41)"
"𒘩","1(N42A)","1(N42A), 1(N42A)","1(N42A)"
"󰄍","1(N43)","1(N43), 1(N43)","1(N43)"
"󰃡","1(N44)","1(N44), 1(N44)","1(N44)"
"𒕹","1(N45)","1(N45), 1(N45)","1(N45)"
"𒗽","1(N45A)","1(N45A), 1(N45A)","1(N45A)"
"𒘔","1(N46)","1(N46), 1(N46)","1(N46)"
"𒘿","1(N47)","1(N47), 1(N47)","1(N47)"
"𒕴","1(N48)","1(N48), 1(N48)","1(N48)"
"𒘟","1(N49)","1(N49), 1(N49)","1(N49)"
"𒖂","1(N50)","1(N50), 1(N50)","1(N50)"
"𒖚","1(N51)","1(N51), 1(N51)","1(N51)"
"𒗠","1(N52)","1(N52), 1(N52)","1(N52)"
"𒖣","1(N54)","1(N54), 1(N54)","1(N54)"
"󰃯","1(N55)","1(N55), 1(N55)","1(N55)"
"𒯬","1(N57)","1(N57), 1(N57)","1(N57)"
"𒯶","1(N58)","1(N58), 1(N58)","1(N58)"
"𒯿","1(N58@t)","1(N58@t), 1(N58@t)","1(N58)"
"󰄤","1(N59)","1(N59), 1(N59)","1(N59)"
"𒗩","1(N60)","1(N60), 1(N60)","1(N60)"
"󰄫","1(N63)","1(N63), 1(N63)","1(N63)"
"󰃚","10(N01)","10(N01), 10(N01)","10(N01)"
"󰃛","10(N14)","10(N14), 10(N14)","10(N14)"
"𒯵","10(N57)","10(N57), 10(N57)","10(N57)"
"𒯽","10(N58)","10(N58), 10(N58)","10(N58)"
"󰃜","11(N14)","11(N14), 11(N14)","11(N14)"
"󰃝","12(N14)","12(N14), 12(N14)","12(N14)"
"𒯾","12(N58)","12(N58), 12(N58)","12(N58)"
"𒯨","2(LAGAB~a)","2(LAGAB~a), 2(LAGAB~a)","2(LAGAB)"
"𒕑","2(N01)","2(N01), 2(N01)","2(N01)"
"𒙍","2(N01@f)","2(N01@f), 2(N01@f)","2(N01)"
"𒖿","2(N02)","2(N02), 2(N02)","2(N02)"
"𒗰","2(N03)","2(N03), 2(N03)","2(N03)"
"𒘇","2(N04)","2(N04), 2(N04)","2(N04)"
"𒘲","2(N05)","2(N05), 2(N05)","2(N05)"
"𒙇","2(N07A)","2(N07A), 2(N07A)","2(N07A)"
"𒙊","2(N07B)","2(N07B), 2(N07B)","2(N07B)"
"𒕚","2(N08)","2(N08), 2(N08)","2(N08)"
"󰃶","2(N08~b)","2(N08~b), 2(N08~b)","2(N08)"
"𒕣","2(N14)","2(N14), 2(N14)","2(N14)"
"𒗈","2(N15)","2(N15), 2(N15)","2(N15)"
"𒗵","2(N18)","2(N18), 2(N18)","2(N18)"
"𒘌","2(N19)","2(N19), 2(N19)","2(N19)"
"𒘷","2(N20)","2(N20), 2(N20)","2(N20)"
"𒗛","2(N21)","2(N21), 2(N21)","2(N21)"
"𒖍","2(N22)","2(N22), 2(N22)","2(N22)"
"󰃿","2(N23)","2(N23), 2(N23)","2(N23)"
"󰄇","2(N29A)","2(N29A), 2(N29A)","2(N29A)"
"󰄊","2(N29AB)","2(N29AB), 2(N29AB)","2(N29AB)"
"𒕬","2(N34)","2(N34), 2(N34)","2(N34)"
"𒗍","2(N35)","2(N35), 2(N35)","2(N35)"
"𒘗","2(N36)","2(N36), 2(N36)","2(N36)"
"𒙂","2(N37)","2(N37), 2(N37)","2(N37)"
"𒖷","2(N39A)","2(N39A), 2(N39A)","2(N39A)"
"𒖻","2(N39B)","2(N39B), 2(N39B)","2(N39B)"
"𒗬","2(N40)","2(N40), 2(N40)","2(N40)"
"𒘃","2(N41)","2(N41), 2(N41)","2(N41)"
"𒘪","2(N42A)","2(N42A), 2(N42A)","2(N42A)"
"𒘮","2(N42B)","2(N42B), 2(N42B)","2(N42B)"
"𒕺","2(N45)","2(N45), 2(N45)","2(N45)"
"𒘕","2(N46)","2(N46), 2(N46)","2(N46)"
"𒙀","2(N47)","2(N47), 2(N47)","2(N47)"
"𒕵","2(N48)","2(N48), 2(N48)","2(N48)"
"𒘠","2(N49)","2(N49), 2(N49)","2(N49)"
"𒖃","2(N50)","2(N50), 2(N50)","2(N50)"
"𒖛","2(N51)","2(N51), 2(N51)","2(N51)"
"𒗡","2(N52)","2(N52), 2(N52)","2(N52)"
"𒖤","2(N54)","2(N54), 2(N54)","2(N54)"
"𒖩","2(N56)","2(N56), 2(N56)","2(N56)"
"𒯭","2(N57)","2(N57), 2(N57)","2(N57)"
"𒯷","2(N58)","2(N58), 2(N58)","2(N58)"
"󰄥","2(N59)","2(N59), 2(N59)","2(N59)"
"󰃞","22(N14)","22(N14), 22(N14)","22(N14)"
"𒯩","3(LAGAB~a)","3(LAGAB~a), 3(LAGAB~a)","3(LAGAB)"
"𒕒","3(N01)","3(N01), 3(N01)","3(N01)"
"𒙎","3(N01@f)","3(N01@f), 3(N01@f)","3(N01)"
"𒗀","3(N02)","3(N02), 3(N02)","3(N02)"
"𒗱","3(N03)","3(N03), 3(N03)","3(N03)"
"𒘈","3(N04)","3(N04), 3(N04)","3(N04)"
"𒘳","3(N05)","3(N05), 3(N05)","3(N05)"
"𒙈","3(N07A)","3(N07A), 3(N07A)","3(N07A)"
"𒙋","3(N07B)","3(N07B), 3(N07B)","3(N07B)"
"𒕛","3(N08)","3(N08), 3(N08)","3(N08)"
"󰃷","3(N08~b)","3(N08~b), 3(N08~b)","3(N08)"
"𒕤","3(N14)","3(N14), 3(N14)","3(N14)"
"𒙘","3(N14@f)","3(N14@f), 3(N14@f)","3(N14)"
"𒗉","3(N15)","3(N15), 3(N15)","3(N15)"
"𒗶","3(N18)","3(N18), 3(N18)","3(N18)"
"𒘍","3(N19)","3(N19), 3(N19)","3(N19)"
"𒘸","3(N20)","3(N20), 3(N20)","3(N20)"
"𒗜","3(N21)","3(N21), 3(N21)","3(N21)"
"󰄀","3(N23)","3(N23), 3(N23)","3(N23)"
"𒕭","3(N34)","3(N34), 3(N34)","3(N34)"
"𒘘","3(N36)","3(N36), 3(N36)","3(N36)"
"𒖸","3(N39A)","3(N39A), 3(N39A)","3(N39A)"
"𒖼","3(N39B)","3(N39B), 3(N39B)","3(N39B)"
"𒗭","3(N40)","3(N40), 3(N40)","3(N40)"
"𒘄","3(N41)","3(N41), 3(N41)","3(N41)"
"𒘫","3(N42A)","3(N42A), 3(N42A)","3(N42A)"
"𒕻","3(N45)","3(N45), 3(N45)","3(N45)"
"󰃩","3(N46)","3(N46), 3(N46)","3(N46)"
"󰃪","3(N47)","3(N47), 3(N47)","3(N47)"
"𒕶","3(N48)","3(N48), 3(N48)","3(N48)"
"𒘡","3(N49)","3(N49), 3(N49)","3(N49)"
"𒖄","3(N50)","3(N50), 3(N50)","3(N50)"
"𒖜","3(N51)","3(N51), 3(N51)","3(N51)"
"𒗢","3(N52)","3(N52), 3(N52)","3(N52)"
"󰃮","3(N53)","3(N53), 3(N53)","3(N53)"
"𒖥","3(N54)","3(N54), 3(N54)","3(N54)"
"𒯮","3(N57)","3(N57), 3(N57)","3(N57)"
"𒯸","3(N58)","3(N58), 3(N58)","3(N58)"
"󰄦","3(N59)","3(N59), 3(N59)","3(N59)"
"󰄩","3(N61)","3(N61), 3(N61)","3(N61)"
"𒯪","4(LAGAB~a)","4(LAGAB~a), 4(LAGAB~a)","4(LAGAB)"
"𒕓","4(N01)","4(N01), 4(N01)","4(N01)"
"𒙏","4(N01@f)","4(N01@f), 4(N01@f)","4(N01)"
"𒗁","4(N02)","4(N02), 4(N02)","4(N02)"
"𒗲","4(N03)","4(N03), 4(N03)","4(N03)"
"𒘉","4(N04)","4(N04), 4(N04)","4(N04)"
"𒘴","4(N05)","4(N05), 4(N05)","4(N05)"
"𒕜","4(N08)","4(N08), 4(N08)","4(N08)"
"󰃸","4(N08~b)","4(N08~b), 4(N08~b)","4(N08)"
"󰃹","4(N08~c)","4(N08~c), 4(N08~c)","4(N08)"
"𒕥","4(N14)","4(N14), 4(N14)","4(N14)"
"𒗊","4(N15)","4(N15), 4(N15)","4(N15)"
"𒗷","4(N18)","4(N18), 4(N18)","4(N18)"
"𒘎","4(N19)","4(N19), 4(N19)","4(N19)"
"𒘹","4(N20)","4(N20), 4(N20)","4(N20)"
"𒗝","4(N21)","4(N21), 4(N21)","4(N21)"
"𒕮","4(N34)","4(N34), 4(N34)","4(N34)"
"𒘙","4(N36)","4(N36), 4(N36)","4(N36)"
"𒖹","4(N39A)","4(N39A), 4(N39A)","4(N39A)"
"𒖽","4(N39B)","4(N39B), 4(N39B)","4(N39B)"
"𒗮","4(N40)","4(N40), 4(N40)","4(N40)"
"𒘅","4(N41)","4(N41), 4(N41)","4(N41)"
"𒘬","4(N42A)","4(N42A), 4(N42A)","4(N42A)"
"󰄎","4(N43)","4(N43), 4(N43)","4(N43)"
"𒕼","4(N45)","4(N45), 4(N45)","4(N45)"
"𒕷","4(N48)","4(N48), 4(N48)","4(N48)"
"𒘢","4(N49)","4(N49), 4(N49)","4(N49)"
"𒖅","4(N50)","4(N50), 4(N50)","4(N50)"
"𒖝","4(N51)","4(N51), 4(N51)","4(N51)"
"𒗣","4(N52)","4(N52), 4(N52)","4(N52)"
"𒯯","4(N57)","4(N57), 4(N57)","4(N57)"
"𒯹","4(N58)","4(N58), 4(N58)","4(N58)"
"󰄧","4(N59)","4(N59), 4(N59)","4(N59)"
"󰄪","4(N62)","4(N62), 4(N62)","4(N62)"
"𒕔","5(N01)","5(N01), 5(N01)","5(N01)"
"𒙐","5(N01@f)","5(N01@f), 5(N01@f)","5(N01)"
"𒗂","5(N02)","5(N02), 5(N02)","5(N02)"
"𒗳","5(N03)","5(N03), 5(N03)","5(N03)"
"𒘊","5(N04)","5(N04), 5(N04)","5(N04)"
"𒘵","5(N05)","5(N05), 5(N05)","5(N05)"
"𒕝","5(N08)","5(N08), 5(N08)","5(N08)"
"𒕦","5(N14)","5(N14), 5(N14)","5(N14)"
"𒗋","5(N15)","5(N15), 5(N15)","5(N15)"
"𒗸","5(N18)","5(N18), 5(N18)","5(N18)"
"𒘏","5(N19)","5(N19), 5(N19)","5(N19)"
