"Sign","Name","Name1","Name2"
"𒘺","5(N20)","5(N20), 5(N20)","5(N20)"
"𒗞","5(N21)","5(N21), 5(N21)","5(N21)"
"󰄁","5(N23)","5(N23), 5(N23)","5(N23)"
"𒕯","5(N34)","5(N34), 5(N34)","5(N34)"
"𒗐","5(N35)","5(N35), 5(N35)","5(N35)"
"𒘚","5(N36)","5(N36), 5(N36)","5(N36)"
"𒕽","5(N45)","5(N45), 5(N45)","5(N45)"
"𒕸","5(N48)","5(N48), 5(N48)","5(N48)"
"𒖆","5(N50)","5(N50), 5(N50)","5(N50)"
"𒖞","5(N51)","5(N51), 5(N51)","5(N51)"
"𒗤","5(N52)","5(N52), 5(N52)","5(N52)"
"𒖧","5(N54)","5(N54), 5(N54)","5(N54)"
"𒯰","5(N57)","5(N57), 5(N57)","5(N57)"
"𒯺","5(N58)","5(N58), 5(N58)","5(N58)"
"𒯫","6(LAGAB~a)","6(LAGAB~a), 6(LAGAB~a)","6(LAGAB)"
"𒕕","6(N01)","6(N01), 6(N01)","6(N01)"
"𒙑","6(N01@f)","6(N01@f), 6(N01@f)","6(N01)"
"𒗃","6(N02)","6(N02), 6(N02)","6(N02)"
"𒕞","6(N08)","6(N08), 6(N08)","6(N08)"
"𒕧","6(N14)","6(N14), 6(N14)","6(N14)"
"𒗹","6(N18)","6(N18), 6(N18)","6(N18)"
"𒘐","6(N19)","6(N19), 6(N19)","6(N19)"
"𒘻","6(N20)","6(N20), 6(N20)","6(N20)"
"󰃠","6(N21)","6(N21), 6(N21)","6(N21)"
"󰄅","6(N24)","6(N24), 6(N24)","6(N24)"
"𒕰","6(N34)","6(N34), 6(N34)","6(N34)"
"𒘛","6(N36)","6(N36), 6(N36)","6(N36)"
"𒕾","6(N45)","6(N45), 6(N45)","6(N45)"
"󰃫","6(N48)","6(N48), 6(N48)","6(N48)"
"𒖟","6(N51)","6(N51), 6(N51)","6(N51)"
"𒯱","6(N57)","6(N57), 6(N57)","6(N57)"
"󰄨","6(N59)","6(N59), 6(N59)","6(N59)"
"𒕖","7(N01)","7(N01), 7(N01)","7(N01)"
"𒗄","7(N02)","7(N02), 7(N02)","7(N02)"
"𒕟","7(N08)","7(N08), 7(N08)","7(N08)"
"𒕨","7(N14)","7(N14), 7(N14)","7(N14)"
"𒗺","7(N18)","7(N18), 7(N18)","7(N18)"
"𒘑","7(N19)","7(N19), 7(N19)","7(N19)"
"𒘼","7(N20)","7(N20), 7(N20)","7(N20)"
"󰄂","7(N23)","7(N23), 7(N23)","7(N23)"
"𒕱","7(N34)","7(N34), 7(N34)","7(N34)"
"𒙥","7(N34@f)","7(N34@f), 7(N34@f)","7(N34)"
"𒕿","7(N45)","7(N45), 7(N45)","7(N45)"
"󰃬","7(N48)","7(N48), 7(N48)","7(N48)"
"𒖠","7(N51)","7(N51), 7(N51)","7(N51)"
"𒯲","7(N57)","7(N57), 7(N57)","7(N57)"
"󰃺","7(N59)","7(N59), 7(N59)","7(N59)"
"𒕗","8(N01)","8(N01), 8(N01)","8(N01)"
"𒙓","8(N01@f)","8(N01@f), 8(N01@f)","8(N01)"
"𒗅","8(N02)","8(N02), 8(N02)","8(N02)"
"𒕠","8(N08)","8(N08), 8(N08)","8(N08)"
"𒕩","8(N14)","8(N14), 8(N14)","8(N14)"
"𒗻","8(N18)","8(N18), 8(N18)","8(N18)"
"𒘒","8(N19)","8(N19), 8(N19)","8(N19)"
"𒘽","8(N20)","8(N20), 8(N20)","8(N20)"
"𒕲","8(N34)","8(N34), 8(N34)","8(N34)"
"𒖡","8(N51)","8(N51), 8(N51)","8(N51)"
"𒯳","8(N57)","8(N57), 8(N57)","8(N57)"
"𒯻","8(N58)","8(N58), 8(N58)","8(N58)"
"𒕘","9(N01)","9(N01), 9(N01)","9(N01)"
"𒗆","9(N02)","9(N02), 9(N02)","9(N02)"
"𒕡","9(N08)","9(N08), 9(N08)","9(N08)"
"𒕪","9(N14)","9(N14), 9(N14)","9(N14)"
"𒗼","9(N18)","9(N18), 9(N18)","9(N18)"
"𒘓","9(N19)","9(N19), 9(N19)","9(N19)"
"𒘾","9(N20)","9(N20), 9(N20)","9(N20)"
"𒕳","9(N34)","9(N34), 9(N34)","9(N34)"
"𒘞","9(N36)","9(N36), 9(N36)","9(N36)"
"𒖁","9(N45)","9(N45), 9(N45)","9(N45)"
"𒯴","9(N57)","9(N57), 9(N57)","9(N57)"
"𒯼","9(N58)","9(N58), 9(N58)","9(N58)"
"𒚐","A","A, A","A"
"󲐁","A@t","A@t, A@t","A"
"𒚕","A₂","A2, A₂","A₂"
"𒚖","AB~a","AB~a, AB~a","AB"
"𒚜","AB~a@g","AB~a@g, AB~a@g","AB"
"𒚝","AB~b","AB~b, AB~b","AB"
"𒚞","AB₂","AB2, AB₂","AB₂"
"󲔥","AB₂@g","AB2@g, AB₂@g","AB₂"
"𒚠","ABZU","ABZU, ABZU","ABZU"
"𒚡","AD~a","AD~a, AD~a","AD"
"𒚢","AD~b","AD~b, AD~b","AD"
"𒚣","AD~c","AD~c, AD~c","AD"
"𒚤","ADAB","ADAB, ADAB","ADAB"
"𒚥","ADDA","ADDA, ADDA","ADDA"
"𒚦","AGAR₂","AGAR2, AGAR₂","AGAR₂"
"𒚧","AK~a","AK~a, AK~a","AK"
"𒚨","AK~b","AK~b, AK~b","AK"
"𒚩","AL","AL, AL","AL"
"𒚪","ALAN~a","ALAN~a, ALAN~a","ALAN"
"𒚫","ALAN~b","ALAN~b, ALAN~b","ALAN"
"𒚬","ALAN~c","ALAN~c, ALAN~c","ALAN"
"󲐊","ALAN~d","ALAN~d, ALAN~d","ALAN"
"𒚭","ALAN~e","ALAN~e, ALAN~e","ALAN"
"𒚮","ALIM","ALIM, ALIM","ALIM"
"𒚯","AM~a","AM~a, AM~a","AM"
"𒚰","AM~b","AM~b, AM~b","AM"
"𒚱","AMA~a","AMA~a, AMA~a","AMA"
"𒚳","AMA~b","AMA~b, AMA~b","AMA"
"𒚴","AMAR","AMAR, AMAR","AMAR"
"󲐋","AMAR@g","AMAR@g, AMAR@g","AMAR"
"𒚷","AN","AN, AN","AN"
"𒚸","ANŠE~a","ANŠE~a, ANŠE~a","ANŠE"
"𒚹","ANŠE~b","ANŠE~b, ANŠE~b","ANŠE"
"𒚺","ANŠE~c","ANŠE~c, ANŠE~c","ANŠE"
"𒚻","ANŠE~e","ANŠE~e, ANŠE~e","ANŠE"
"𒚼","ANŠE~f","ANŠE~f, ANŠE~f","ANŠE"
"𒚽","APIN~a","APIN~a, APIN~a","APIN"
"𒚾","APIN~b","APIN~b, APIN~b","APIN"
"𒚿","APIN~c","APIN~c, APIN~c","APIN"
"𒛀","ARARMA₂~a","ARARMA2~a, ARARMA₂~a","ARARMA₂"
"𒛁","ASAR","ASAR, ASAR","ASAR"
"󲐌","AŠ₂","AŠ2, AŠ₂","AŠ₂"
"𒛂","AZ","AZ, AZ","AZ"
"𒛃","AZU","AZU, AZU","AZU"
"𒛄","BA","BA, BA","BA"
"𒛅","BAD","BAD, BAD","BAD"
"𒛇","BAD₃~a","BAD3~a, BAD₃~a","BAD₃"
"𒛈","BAD₃~b1","BAD3~b1, BAD₃~b1","BAD₃"
"𒛉","BAD₃~b2","BAD3~b2, BAD₃~b2","BAD₃"
"𒛊","BAHAR₂~a","BAHAR2~a, BAHAR₂~a","BAHAR₂"
"𒛋","BAHAR₂~b","BAHAR2~b, BAHAR₂~b","BAHAR₂"
"𒛌","BAHAR₂~c","BAHAR2~c, BAHAR₂~c","BAHAR₂"
"𒛍","BALA~a","BALA~a, BALA~a","BALA"
"𒛎","BALA~b","BALA~b, BALA~b","BALA"
"𒛏","BALAG","BALAG, BALAG","BALAG"
"𒛐","BAN~a","BAN~a, BAN~a","BAN"
"𒛑","BAN~b","BAN~b, BAN~b","BAN"
"𒛒","BANŠUR~a","BANŠUR~a, BANŠUR~a","BANŠUR"
"𒛓","BANŠUR~a@t","BANŠUR~a@t, BANŠUR~a@t","BANŠUR"
"𒛔","BANŠUR~b1","BANŠUR~b1, BANŠUR~b1","BANŠUR"
"𒛕","BANŠUR~b2","BANŠUR~b2, BANŠUR~b2","BANŠUR"
"𒛖","BANŠUR~c","BANŠUR~c, BANŠUR~c","BANŠUR"
"𒛗","BAPPIR~a","BAPPIR~a, BAPPIR~a","BAPPIR"
"𒛘","BAPPIR~b","BAPPIR~b, BAPPIR~b","BAPPIR"
"𒛙","BAPPIR~c","BAPPIR~c, BAPPIR~c","BAPPIR"
"𒛚","BAPPIR~d","BAPPIR~d, BAPPIR~d","BAPPIR"
"𒛛","BAPPIR~e","BAPPIR~e, BAPPIR~e","BAPPIR"
"𒛜","BAPPIR~f","BAPPIR~f, BAPPIR~f","BAPPIR"
"𒛝","BAR","BAR, BAR","BAR"
"𒛞","BARA₂~a","BARA2~a, BARA₂~a","BARA₂"
"𒛟","BARA₂~b","BARA2~b, BARA₂~b","BARA₂"
"𒛠","BARA₃","BARA3, BARA₃","BARA₃"
"𒛡","BIR~a","BIR~a, BIR~a","BIR"
"𒛢","BIR~b","BIR~b, BIR~b","BIR"
"𒛣","BIR~c","BIR~c, BIR~c","BIR"
"𒛤","BIR₃~a","BIR3~a, BIR₃~a","BIR₃"
"𒛥","BIR₃~b","BIR3~b, BIR₃~b","BIR₃"
"𒛦","BIR₃~c","BIR3~c, BIR₃~c","BIR₃"
"𒛧","BU~a","BU~a, BU~a","BU"
"𒛭","BU~b","BU~b, BU~b","BU"
"𒛮","BU₃","BU3, BU₃","BU₃"
"𒛯","BULUG","BULUG, BULUG","BULUG"
"𒛰","BULUG₃","BULUG3, BULUG₃","BULUG₃"
"𒛱","BUR~a","BUR~a, BUR~a","BUR"
"𒛲","BUR~b","BUR~b, BUR~b","BUR"
"𒛳","BUR~c","BUR~c, BUR~c","BUR"
"𒛴","BUR~d","BUR~d, BUR~d","BUR"
"𒛵","BUR₂","BUR2, BUR₂","BUR₂"
"𒛶","DA~a","DA~a, DA~a","DA"
"𒛷","DA~b","DA~b, DA~b","DA"
"𒛸","DA~c","DA~c, DA~c","DA"
"𒛹","DA~d","DA~d, DA~d","DA"
"𒛺","DAH","DAH, DAH","DAH"
"𒛻","DAM","DAM, DAM","DAM"
"𒛼","DANNA","DANNA, DANNA","DANNA"
"𒛽","DAR~a","DAR~a, DAR~a","DAR"
"𒛿","DAR~b","DAR~b, DAR~b","DAR"
"𒜀","DAR~c","DAR~c, DAR~c","DAR"
"󲐐","DAR~d","DAR~d, DAR~d","DAR"
"𒜁","DARA₃~a","DARA3~a, DARA₃~a","DARA₃"
"𒜂","DARA₃~b","DARA3~b, DARA₃~b","DARA₃"
"𒜃","DARA₃~c","DARA3~c, DARA₃~c","DARA₃"
"𒜆","DARA₃~d","DARA3~d, DARA₃~d","DARA₃"
"𒜉","DARA₄~a1","DARA4~a1, DARA₄~a1","DARA₄"
"𒜊","DARA₄~a2","DARA4~a2, DARA₄~a2","DARA₄"
"𒜋","DARA₄~a3","DARA4~a3, DARA₄~a3","DARA₄"
"𒜌","DARA₄~b","DARA4~b, DARA₄~b","DARA₄"
"𒜍","DARA₄~c","DARA4~c, DARA₄~c","DARA₄"
"𒜎","DARA₄~c1","DARA4~c1, DARA₄~c1","DARA₄"
"𒜏","DARA₄~c2","DARA4~c2, DARA₄~c2","DARA₄"
"𒜐","DARA₄~c3","DARA4~c3, DARA₄~c3","DARA₄"
"𒜑","DARA₄~c4","DARA4~c4, DARA₄~c4","DARA₄"
"𒜒","DARA₄~c5","DARA4~c5, DARA₄~c5","DARA₄"
"𒜓","DARA₄~d","DARA4~d, DARA₄~d","DARA₄"
"𒜔","DI","DI, DI","DI"
"𒜕","DI@t","DI@t, DI@t","DI"
"𒜖","DIB","DIB, DIB","DIB"
"𒜗","DILMUN","DILMUN, DILMUN","DILMUN"
"𒜘","DIM~a","DIM~a, DIM~a","DIM"
"𒜙","DIM~b","DIM~b, DIM~b","DIM"
"𒜚","DIM~c","DIM~c, DIM~c","DIM"
"𒜛","DIN","DIN, DIN","DIN"
"𒜝","DIN@t","DIN@t, DIN@t","DIN"
"𒜞","DU","DU, DU","DU"
"𒜠","DU@g","DU@g, DU@g","DU"
"𒜡","DU₆~a","DU6~a, DU₆~a","DU₆"
"𒜣","DU₆~b","DU6~b, DU₆~b","DU₆"
"𒜤","DU₆~c","DU6~c, DU₆~c","DU₆"
"𒜥","DU₇","DU7, DU₇","DU₇"
"𒜦","DU₈~a","DU8~a, DU₈~a","DU₈"
"𒜧","DU₈~b","DU8~b, DU₈~b","DU₈"
"𒜨","DU₈~c","DU8~c, DU₈~c","DU₈"
"𒜭","DU₈~c@g","DU8~c@g, DU₈~c@g","DU₈"
"𒜮","DUB~a","DUB~a, DUB~a","DUB"
"𒜯","DUB~b","DUB~b, DUB~b","DUB"
"󲔫","DUB~b@r","DUB~b@r, DUB~b@r","DUB"
"𒜰","DUB~c","DUB~c, DUB~c","DUB"
"𒜱","DUB~d","DUB~d, DUB~d","DUB"
"𒜲","DUB~e","DUB~e, DUB~e","DUB"
"𒜳","DUB~f","DUB~f, DUB~f","DUB"
"𒜴","DUB~h","DUB~h, DUB~h","DUB"
"𒜸","DUB₂","DUB2, DUB₂","DUB₂"
"𒜹","DUG~a","DUG~a, DUG~a","DUG"
"𒜿","DUG~b","DUG~b, DUG~b","DUG"
"𒝴","DUG~c","DUG~c, DUG~c","DUG"
"𒝶","DUG~c@t","DUG~c@t, DUG~c@t","DUG"
"𒝷","DUG~d","DUG~d, DUG~d","DUG"
"𒝸","DUGUD","DUGUD, DUGUD","DUGUD"
"𒝹","DUR~a","DUR~a, DUR~a","DUR"
"𒝺","DUR~b","DUR~b, DUR~b","DUR"
"𒝻","DUR₂","DUR2, DUR₂","DUR₂"
"𒝼","E~a","E~a, E~a","E"
"𒝽","E~b","E~b, E~b","E"
"𒝾","E~c","E~c, E~c","E"
"󲐚","E~d","E~d, E~d","E"
"𒝿","E₂~a","E2~a, E₂~a","E₂"
"𒞁","E₂~b","E2~b, E₂~b","E₂"
"𒞃","E₂~c","E2~c, E₂~c","E₂"
"𒞄","E₂~d","E2~d, E₂~d","E₂"
"𒞅","E₃~b","E3~b, E₃~b","E₃"
"𒞆","EDIN","EDIN, EDIN","EDIN"
"𒞋","EN@g~a","EN@g~a, EN@g~a","EN"
"𒞌","EN@g~b","EN@g~b, EN@g~b","EN"
"𒞇","EN~a","EN~a, EN~a","EN"
"𒞈","EN~b","EN~b, EN~b","EN"
"𒞉","EN~b@t","EN~b@t, EN~b@t","EN"
"𒞊","EN~c","EN~c, EN~c","EN"
"󲐝","EN~e","EN~e, EN~e","EN"
"𒞍","EN₂","EN2, EN₂","EN₂"
"𒞎","ERIM~a","ERIM~a, ERIM~a","ERIM"
"𒞏","ERIM~b1","ERIM~b1, ERIM~b1","ERIM"
"𒞐","ERIM~b2","ERIM~b2, ERIM~b2","ERIM"
"𒞑","ERIN","ERIN, ERIN","ERIN"
"𒞒","EŠDA","EŠDA, EŠDA","EŠDA"
"𒞔","EŠGAR","EŠGAR, EŠGAR","EŠGAR"
"𒞕","EZEN~a","EZEN~a, EZEN~a","EZEN"
"𒞡","EZEN~b","EZEN~b, EZEN~b","EZEN"
"𒞤","EZEN~b@t","EZEN~b@t, EZEN~b@t","EZEN"
"𒞥","EZINU~a","EZINU~a, EZINU~a","EZINU"
"𒞦","EZINU~b","EZINU~b, EZINU~b","EZINU"
"𒞧","EZINU~c","EZINU~c, EZINU~c","EZINU"
"𒞨","EZINU~d","EZINU~d, EZINU~d","EZINU"
"𒞩","GA~a","GA~a, GA~a","GA"
"𒞪","GA~b","GA~b, GA~b","GA"
"𒞫","GA~c","GA~c, GA~c","GA"
"𒞮","GA₂~a1","GA2~a1, GA₂~a1","GA₂"
"𒟊","GA₂~a2","GA2~a2, GA₂~a2","GA₂"
"𒟐","GA₂~a3","GA2~a3, GA₂~a3","GA₂"
"𒟑","GA₂~a4","GA2~a4, GA₂~a4","GA₂"
"𒟒","GA₂~b","GA2~b, GA₂~b","GA₂"
"𒟗","GA₂~c","GA2~c, GA₂~c","GA₂"
"𒟜","GADA~a","GADA~a, GADA~a","GADA"
"󲐬","GADA~b","GADA~b, GADA~b","GADA"
"𒟝","GADA~b@g","GADA~b@g, GADA~b@g","GADA"
"𒟞","GAL~a","GAL~a, GAL~a","GAL"
"𒟟","GAL~b","GAL~b, GAL~b","GAL"
"𒟠","GALGA~a","GALGA~a, GALGA~a","GALGA"
"󲐭","GALGA~b","GALGA~b, GALGA~b","GALGA"
"𒟡","GAN~a","GAN~a, GAN~a","GAN"
"𒟢","GAN~b","GAN~b, GAN~b","GAN"
"𒟣","GAN~c","GAN~c, GAN~c","GAN"
"𒟮","GAN₂","GAN2, GAN₂","GAN₂"
"𒟯","GAR","GAR, GAR","GAR"
"𒟰","GAR@g~a","GAR@g~a, GAR@g~a","GAR"
"𒟱","GAR@g~b","GAR@g~b, GAR@g~b","GAR"
"𒟲","GAR@g~c","GAR@g~c, GAR@g~c","GAR"
"𒟳","GAR₃","GAR3, GAR₃","GAR₃"
"𒟴","GARA₂~a","GARA2~a, GARA₂~a","GARA₂"
"󲐲","GARA₂~b","GARA2~b, GARA₂~b","GARA₂"
"𒟵","GAZI","GAZI, GAZI","GAZI"
"𒟘","GAʾAR~a1","GAʾAR~a1, GAʾAR~a1","GAʾAR"
"𒟙","GAʾAR~a2","GAʾAR~a2, GAʾAR~a2","GAʾAR"
"𒟚","GAʾAR~b1","GAʾAR~b1, GAʾAR~b1","GAʾAR"
"𒟛","GAʾAR~b2","GAʾAR~b2, GAʾAR~b2","GAʾAR"
"𒟶","GEŠTIN~a","GEŠTIN~a, GEŠTIN~a","GEŠTIN"
"𒟷","GEŠTIN~d","GEŠTIN~d, GEŠTIN~d","GEŠTIN"
"𒟸","GEŠTIN~e","GEŠTIN~e, GEŠTIN~e","GEŠTIN"
"𒟹","GEŠTU~a","GEŠTU~a, GEŠTU~a","GEŠTU"
"𒟻","GEŠTU~b","GEŠTU~b, GEŠTU~b","GEŠTU"
"𒟼","GEŠTU~c3","GEŠTU~c3, GEŠTU~c3","GEŠTU"
"𒟽","GEŠTU~c5","GEŠTU~c5, GEŠTU~c5","GEŠTU"
"𒟾","GI","GI, GI","GI"
"𒠋","GI@t","GI@t, GI@t","GI"
"𒠌","GI₄~a","GI4~a, GI₄~a","GI₄"
"𒠎","GI₄~b","GI4~b, GI₄~b","GI₄"
"𒠐","GI₆","GI6, GI₆","GI₆"
"𒠑","GIBIL","GIBIL, GIBIL","GIBIL"
"󲐷","GIBIL@t","GIBIL@t, GIBIL@t","GIBIL"
"𒠒","GIR~a","GIR~a, GIR~a","GIR"
"𒠓","GIR~b","GIR~b, GIR~b","GIR"
"𒠔","GIR~c","GIR~c, GIR~c","GIR"
"󲐸","GIR~d","GIR~d, GIR~d","GIR"
"𒠕","GIR₂~a","GIR2~a, GIR₂~a","GIR₂"
"𒠛","GIR₃@g~a","GIR3@g~a, GIR₃@g~a","GIR₃"
"𒠜","GIR₃@g~b","GIR3@g~b, GIR₃@g~b","GIR₃"
"𒠝","GIR₃@g~c","GIR3@g~c, GIR₃@g~c","GIR₃"
"𒠖","GIR₃~a","GIR3~a, GIR₃~a","GIR₃"
"𒠘","GIR₃~b","GIR3~b, GIR₃~b","GIR₃"
"𒠙","GIR₃~c","GIR3~c, GIR₃~c","GIR₃"
"𒠞","GISAL~a","GISAL~a, GISAL~a","GISAL"
"𒠟","GISAL~b","GISAL~b, GISAL~b","GISAL"
"𒠠","GIŠ","GIŠ, GIŠ","GIŠ"
"𒠦","GIŠ@t","GIŠ@t, GIŠ@t","GIŠ"
"𒠧","GIŠ₃~a","GIŠ3~a, GIŠ₃~a","GIŠ₃"
"𒠩","GIŠ₃~b","GIŠ3~b, GIŠ₃~b","GIŠ₃"
"𒠪","GIŠGAL","GIŠGAL, GIŠGAL","GIŠGAL"
"𒠫","GIŠIMMAR~a1","GIŠIMMAR~a1, GIŠIMMAR~a1","GIŠIMMAR"
"𒠬","GIŠIMMAR~a2","GIŠIMMAR~a2, GIŠIMMAR~a2","GIŠIMMAR"
"𒠭","GIŠIMMAR~a3","GIŠIMMAR~a3, GIŠIMMAR~a3","GIŠIMMAR"
"𒠮","GIŠIMMAR~b1","GIŠIMMAR~b1, GIŠIMMAR~b1","GIŠIMMAR"
"𒠯","GIŠIMMAR~b2","GIŠIMMAR~b2, GIŠIMMAR~b2","GIŠIMMAR"
"𒠰","GIŠIMMAR~b3","GIŠIMMAR~b3, GIŠIMMAR~b3","GIŠIMMAR"
"𒠱","GU","GU, GU","GU"
"𒠲","GU₂","GU2, GU₂","GU₂"
"𒠳","GU₄","GU4, GU₄","GU₄"
"𒠴","GU₄@g","GU4@g, GU₄@g","GU₄"
"𒠵","GU₇","GU7, GU₇","GU₇"
"𒠶","GUB₃~a","GUB3~a, GUB₃~a","GUB₃"
"𒠷","GUB₃~b","GUB3~b, GUB₃~b","GUB₃"
"𒠸","GUB₃~c","GUB3~c, GUB₃~c","GUB₃"
"𒠹","GUB₃~d","GUB3~d, GUB₃~d","GUB₃"
"𒠺","GUG₂","GUG2, GUG₂","GUG₂"
"𒠽","GUKKAL~a","GUKKAL~a, GUKKAL~a","GUKKAL"
"𒠾","GUKKAL~b","GUKKAL~b, GUKKAL~b","GUKKAL"
"𒠿","GUKKAL~c","GUKKAL~c, GUKKAL~c","GUKKAL"
"𒡀","GUKKAL~d","GUKKAL~d, GUKKAL~d","GUKKAL"
"𒡁","GUL","GUL, GUL","GUL"
"𒡂","GUM~a","GUM~a, GUM~a","GUM"
"𒡃","GUM~b","GUM~b, GUM~b","GUM"
"𒡄","GUM~b@n","GUM~b@n, GUM~b@n","GUM"
"𒡅","GUN₃~a","GUN3~a, GUN₃~a","GUN₃"
"𒡆","GUN₃~b","GUN3~b, GUN₃~b","GUN₃"
"𒡇","GUR","GUR, GUR","GUR"
"𒡈","GURUŠ~a","GURUŠ~a, GURUŠ~a","GURUŠ"
"𒡊","GURUŠ~b","GURUŠ~b, GURUŠ~b","GURUŠ"
"𒡍","GURUŠDA","GURUŠDA, GURUŠDA","GURUŠDA"
"𒡎","HAL","HAL, HAL","HAL"
"𒡏","HALUB","HALUB, HALUB","HALUB"
"𒡐","HAŠHUR","HAŠHUR, HAŠHUR","HAŠHUR"
"𒡒","HI","HI, HI","HI"
"𒡕","HI@g~a","HI@g~a, HI@g~a","HI"
"𒡖","HI@g~b","HI@g~b, HI@g~b","HI"
"𒡗","HI@g~c","HI@g~c, HI@g~c","HI"
"󲔰","HI~b","HI~b, HI~b","HI"
"𒡘","I","I, I","I"
"𒡙","IB~a","IB~a, IB~a","IB"
"𒡚","IB~a@n","IB~a@n, IB~a@n","IB"
"𒡛","IB~b","IB~b, IB~b","IB"
"𒡜","IB~c","IB~c, IB~c","IB"
"𒡝","IDIGNA","IDIGNA, IDIGNA","IDIGNA"
"𒡞","IG~a","IG~a, IG~a","IG"
"𒡟","IG~b","IG~b, IG~b","IG"
"𒡠","IL","IL, IL","IL"
"𒡡","IM~a","IM~a, IM~a","IM"
"𒡢","IM~b","IM~b, IM~b","IM"
"𒡣","IN~b","IN~b, IN~b","IN"
"𒡤","IN~d","IN~d, IN~d","IN"
"𒡥","IR~a","IR~a, IR~a","IR"
"𒡦","IR~b","IR~b, IR~b","IR"
"𒡧","IR~c","IR~c, IR~c","IR"
"𒡨","IR~d","IR~d, IR~d","IR"
"󲐾","IRHAN","IRHAN, IRHAN","IRHAN"
"𒡩","IŠ~a","IŠ~a, IŠ~a","IŠ"
"𒡪","IŠ~b","IŠ~b, IŠ~b","IŠ"
"𒡫","IŠ~c","IŠ~c, IŠ~c","IŠ"
"𒡬","KA~a","KA~a, KA~a","KA"
"𒡮","KA₂~a","KA2~a, KA₂~a","KA₂"
"𒡯","KA₂~b","KA2~b, KA₂~b","KA₂"
"󲐿","KA₂~c","KA2~c, KA₂~c","KA₂"
"𒡱","KAB","KAB, KAB","KAB"
"𒡲","KAD₄~a","KAD4~a, KAD₄~a","KAD₄"
"𒡳","KAD₄~b","KAD4~b, KAD₄~b","KAD₄"
"󲑁","KAD₄~c1","KAD4~c1, KAD₄~c1","KAD₄"
"󲑂","KAD₄~c2","KAD4~c2, KAD₄~c2","KAD₄"
"𒡴","KAK~a","KAK~a, KAK~a","KAK"
"𒡵","KAK~b","KAK~b, KAK~b","KAK"
"𒡶","KAL~a","KAL~a, KAL~a","KAL"
"𒡷","KAL~b1","KAL~b1, KAL~b1","KAL"
"𒡸","KAL~b2","KAL~b2, KAL~b2","KAL"
"𒡹","KALAM~a","KALAM~a, KALAM~a","KALAM"
"𒡺","KALAM~b","KALAM~b, KALAM~b","KALAM"
